Locus tag	Strand	Chr	Begin	End	Length (bp)	Length (aa)	Gene Name	Start codon	Operon	Product	Description	RAST info.	COG
lmo2310	-	NC_003210.1	2389491	2389658	168	55		ATG		hypothetical protein - RAST_Product: hypothetical protein	lmo2310	hypothetical protein	Not in COGs
lmo2311	-	NC_003210.1	2389655	2390116	462	153		ATG		hypothetical protein - RAST_Product: hypothetical protein	lmo2311	hypothetical protein	Not in COGs
lmo2312	-	NC_003210.1	2390113	2390583	471	156		ATG		hypothetical protein - RAST_Product: conserved hypothetical protein	lmo2312	conserved hypothetical protein	Function unknown
lmo2313	-	NC_003210.1	2390580	2391023	444	147		ATG		hypothetical protein - RAST_Product: Hypothetical protein, Lmo2313 homolog [Bacteriophage A118]	similar to a bacteriophage protein	Hypothetical protein, Lmo2313 homolog [Bacteriophage A118]	Not in COGs
lmo2314	-	NC_003210.1	2391020	2391217	198	65		ATG		hypothetical protein - RAST_Product: hypothetical protein	lmo2314	hypothetical protein	Not in COGs
lmo2315	-	NC_003210.1	2391220	2391816	597	198		ATG		hypothetical protein - RAST_Product: Protein gp51 [Bacteriophage A118]	similar to protein gp51 [Bacteriophage A118]	Protein gp51 [Bacteriophage A118]	Not in COGs
lmo2316	-	NC_003210.1	2391813	2392625	813	270		GTG		hypothetical protein - RAST_Product: Methyltransferase	similar to site-specific DNA-methyltransferase	Methyltransferase	Replication, recombination and repair
lmo2317	-	NC_003210.1	2392622	2393596	975	324		ATG		hypothetical protein - RAST_Product: Protein gp49, replication initiation [Bacteriophage A118]	similar to protein gp49 [Bacteriophage A118]	Protein gp49, replication initiation [Bacteriophage A118]	Replication, recombination and repair
lmo2318	-	NC_003210.1	2393613	2394311	699	232		ATG		hypothetical protein - RAST_Product: putative recombination protein / Single-stranded DNA-binding protein	lmo2318	putative recombination protein / Single-stranded DNA-binding protein	Not in COGs
lmo2319	-	NC_003210.1	2394317	2394793	477	158		ATG		hypothetical protein - RAST_Product: hypothetical protein	similar to bacteriophage proteins	hypothetical protein	Not in COGs
lmo2320	-	NC_003210.1	2394790	2394984	195	64		ATG		hypothetical protein - RAST_Product: FIG00774562: hypothetical protein	lmo2320	FIG00774562: hypothetical protein	Not in COGs
lmo2321	-	NC_003210.1	2395290	2395478	189	62		ATG		hypothetical protein - RAST_Product: Protein gp45 [Bacteriophage A118]	lmo2321	Protein gp45 [Bacteriophage A118]	Not in COGs
lmo2322	-	NC_003210.1	2395586	2395801	216	71		ATG		gp44	gp44 [Bacteriophage A118]	Protein gp44 [Bacteriophage A118]	Not in COGs
lmo2323	-	NC_003210.1	2395798	2396331	534	177		ATG		hypothetical protein - RAST_Product: Protein gp43 [Bacteriophage A118]	gp43 [Bacteriophage A118]	Protein gp43 [Bacteriophage A118]	Not in COGs
lmo2324	-	NC_003210.1	2396454	2397230	777	258		ATG		hypothetical protein - RAST_Product: Phage antirepressor protein / Antirepressor [Bacteriophage A118]	similar to anti-repressor [Bacteriophage A118]	Phage antirepressor protein / Antirepressor [Bacteriophage A118]	Transcription; Function unknown;
lmo2325	-	NC_003210.1	2397212	2397487	276	91		TTG		hypothetical protein	lmo2325		Not in COGs
lmo2326	-	NC_003210.1	2397493	2397774	282	93		ATG		hypothetical protein - RAST_Product: Protein gp41 [Bacteriophage A118]	similar to protein gp41 [Bacteriophage A118]	Protein gp41 [Bacteriophage A118]	Not in COGs
lmo2327	-	NC_003210.1	2397800	2398084	285	94		ATG		hypothetical protein - RAST_Product: FIG00774252: hypothetical protein	lmo2327	FIG00774252: hypothetical protein	Not in COGs
lmo2328	-	NC_003210.1	2398287	2398529	243	80		ATG		hypothetical protein - RAST_Product: Repressor (cro-like) [Bacteriophage A118]	similar to transcription regulator	Repressor (cro-like) [Bacteriophage A118]	Transcription
lmo2329	+	NC_003210.1	2398685	2399161	477	158		ATG		hypothetical protein	similar to a putative repressor protein [Bacteriophage A118]	Repressor (CI-like) [Bacteriophage A118]	Transcription
lmo2330	+	NC_003210.1	2399542	2400243	702	233		ATG	Operon_416	hypothetical protein - RAST_Product: Protein gp33 [Bacteriophage A118]	similar to protein gp33 [Bacteriophage A118]	Protein gp33 [Bacteriophage A118]	Amino acid transport and metabolism
lmo2331	+	NC_003210.1	2400264	2400944	681	226		ATG	Operon_416	hypothetical protein - RAST_Product: FIG00775112: hypothetical protein	weakly similar to gp32_Bacteriophage A118 protein	FIG00775112: hypothetical protein	Not in COGs
lmo2332	+	NC_003210.1	2401008	2402366	1359	452	int	ATG		putative integrase	putative integrase [Bacteriophage A118]	Integrase [Bacteriophage A118]	Replication, recombination and repair
lmo02333	+	NC_003210.1	2402357	2402833	477	158		ATG		Pseudo-gene or RefSeq provisional		Competence transcription factor	Not in COGs
lmo2334	-	NC_003210.1	2402888	2403235	348	115		TTG		hypothetical protein - RAST_Product: DNA-binding protein	similar to transcriptional regulator	DNA-binding protein	Transcription
lmo2335	-	NC_003210.1	2403341	2405239	1899	632	fruA	ATG	Operon_417	hypothetical protein - RAST_Product: PTS system, fructose-specific IIA component (EC 2.7.1.69) / PTS system, fructose-specific IIB component (EC 2.7.1.69) / PTS system, fructose-specific IIC component (EC 2.7.1.69)	highly similar to phosphotransferase system (PTS) fructose-specific enzyme IIABC component	PTS system, fructose-specific IIA component (EC 2.7.1.69) / PTS system, fructose-specific IIB component (EC 2.7.1.69) / PTS system, fructose-specific IIC component (EC 2.7.1.69)	Carbohydrate transport and metabolism; Signal transduction mechanisms;
lmo2336	-	NC_003210.1	2405241	2406164	924	307	fruB	ATG	Operon_417	fructose-1-phosphate kinase		1-phosphofructokinase( EC:2.7.1.56 )	Carbohydrate transport and metabolism
lmo2337	-	NC_003210.1	2406161	2406913	753	250		ATG	Operon_417	hypothetical protein - RAST_Product: Transcriptional repressor of the fructose operon, DeoR family	similar to regulatory protein DeoR family	Transcriptional repressor of the fructose operon, DeoR family	Transcription; Carbohydrate transport and metabolism;
lmo2338	+	NC_003210.1	2407128	2408453	1326	441	pepC	ATG		aminopeptidase C		Aminopeptidase C (EC 3.4.22.40)	Amino acid transport and metabolism
lmo2339	-	NC_003210.1	2408450	2408893	444	147		ATG		hypothetical protein - RAST_Product: FIG00774084: hypothetical protein		FIG00774084: hypothetical protein	Function unknown
lmo2340	-	NC_003210.1	2408967	2409878	912	303		ATG	Operon_418	'hypothetical protein - RAST_Product: Pseudouridine 5''-phosphate glycosidase'	similar to Erwinia chrysanthemi IndA protein	'Pseudouridine 5''-phosphate glycosidase'	Secondary metabolites biosynthesis, transport and catabolism
lmo2341	-	NC_003210.1	2409875	2410993	1119	372		GTG	Operon_418	hypothetical protein - RAST_Product: Pseudouridine kinase (EC 2.7.1.83)	similar to carbohydrate kinases	Pseudouridine kinase (EC 2.7.1.83)	Transcription; Carbohydrate transport and metabolism;
lmo2342	-	NC_003210.1	2411126	2411827	702	233		ATG		hypothetical protein - RAST_Product: Ribosomal small subunit pseudouridine synthase A (EC 4.2.1.70)	similar to 16S pseudouridylate synthase	Ribosomal small subunit pseudouridine synthase A (EC 4.2.1.70)	Translation
lmo2343	-	NC_003210.1	2411900	2413222	1323	440		ATG	Operon_419	hypothetical protein - RAST_Product: Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases	similar to nitrilotriacetate monooxygenase	Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases	Energy production and conversion
lmo2344	-	NC_003210.1	2413219	2413485	267	88		ATG	Operon_419	hypothetical protein - RAST_Product: glutaredoxin family protein	similar to B. subtilis YtnI protein	glutaredoxin family protein	Posttranslational modification, protein turnover, chaperones
lmo2345	-	NC_003210.1	2413478	2414473	996	331		ATG	Operon_419	hypothetical protein - RAST_Product: Bacterial luciferase family protein YtmO, in cluster with L-cystine ABC transporter		Bacterial luciferase family protein YtmO, in cluster with L-cystine ABC transporter	Energy production and conversion
lmo2346	-	NC_003210.1	2414470	2415249	780	259		ATG	Operon_419	hypothetical protein - RAST_Product: L-Cystine ABC transporter, ATP-binding protein TcyN	similar to amino acid ABC-transporter, ATP-binding protein	L-Cystine ABC transporter, ATP-binding protein TcyN	Amino acid transport and metabolism
lmo2347	-	NC_003210.1	2415246	2415953	708	235		ATG	Operon_419	hypothetical protein	similar to amino acid ABC transporter (permease)	L-Cystine ABC transporter, permease protein TcyM	Amino acid transport and metabolism
lmo2348	-	NC_003210.1	2415967	2416683	717	238		ATG	Operon_419	hypothetical protein - RAST_Product: L-Cystine ABC transporter, permease protein TcyL	similar to amino acid ABC-transporter (permease)	L-Cystine ABC transporter, permease protein TcyL	Amino acid transport and metabolism
lmo2349	-	NC_003210.1	2416705	2417514	810	269		ATG	Operon_419	hypothetical protein - RAST_Product: L-Cystine ABC transporter, periplasmic cystine-binding protein TcyK	similar to amino acid ABC transporter (binding protein)	L-Cystine ABC transporter, periplasmic cystine-binding protein TcyK	Amino acid transport and metabolism; Signal transduction mechanisms;
lmo2350	-	NC_003210.1	2417531	2418067	537	178		ATG	Operon_419	hypothetical protein - RAST_Product: acetyltransferase, GNAT family	similar to B. subtilis YtmI protein	acetyltransferase, GNAT family	Transcription; General function prediction only;
lmo2351	-	NC_003210.1	2418083	2418628	546	181		ATG	Operon_419	hypothetical protein - RAST_Product: FMN reductase (EC 1.5.1.29)	similar to NADH-dependent FMN reductase	FMN reductase (EC 1.5.1.29)	General function prediction only
lmo2352	+	NC_003210.1	2418871	2419770	900	299		TTG		hypothetical protein - RAST_Product: HTH-type transcriptional regulator YtlI, LysR family	similar to LysR family transcription regulator	HTH-type transcriptional regulator YtlI, LysR family	Transcription
lmo2353	-	NC_003210.1	2419797	2421749	1953	650		ATG	Operon_420	hypothetical protein - RAST_Product: Na+/H+ antiporter	similar to putative Na+/H+ antiporter	Na+/H+ antiporter	Inorganic ion transport and metabolism
lmo2354	-	NC_003210.1	2421878	2423476	1599	532		ATG	Operon_420	hypothetical protein - RAST_Product: Exoenzymes regulatory protein AepA precursor		Exoenzymes regulatory protein AepA precursor	General function prediction only
lmo2355	-	NC_003210.1	2423480	2424721	1242	413		ATG	Operon_420	hypothetical protein - RAST_Product: Multidrug resistance protein B	Similar to multidrug resistance protein	Multidrug resistance protein B	Carbohydrate transport and metabolism; Amino acid transport and metabolism; Inorganic ion transport and metabolism; General function prediction only;
lmo2356	-	NC_003210.1	2424922	2425533	612	203		ATG		hypothetical protein - RAST_Product: FIG00774030: hypothetical protein	lmo2356	FIG00774030: hypothetical protein	Not in COGs
lmo2357	-	NC_003210.1	2425723	2426253	531	176		ATG	Operon_421	hypothetical protein - RAST_Product: membrane protein		membrane protein	Function unknown
lmo2358	-	NC_003210.1	2426270	2427001	732	243		ATG	Operon_421	hypothetical protein - RAST_Product: Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	similar to N-acetylglucosamine-6-phosphate isomerase	Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	Carbohydrate transport and metabolism
lmo2359	-	NC_003210.1	2427045	2427890	846	281		ATG	Operon_421	hypothetical protein - RAST_Product: Cof-like hydrolase		Cof-like hydrolase	General function prediction only
lmo2360	-	NC_003210.1	2428010	2430793	2784	927		ATG	Operon_422	transmembrane protein		FIG00774521: hypothetical protein	Function unknown
lmo2361	-	NC_003210.1	2430826	2431296	471	156		ATG	Operon_422	hypothetical protein		Rrf2 family transcriptional regulator	Transcription
lmo2362	+	NC_003210.1	2431688	2433211	1524	507		ATG		hypothetical protein - RAST_Product: Probable glutamate/gamma-aminobutyrate antiporter	similar to amino acid antiporter (acid resistance)	Probable glutamate/gamma-aminobutyrate antiporter	Amino acid transport and metabolism
lmo2363	+	NC_003210.1	2433224	2434618	1395	464		ATG		hypothetical protein - RAST_Product: Glutamate decarboxylase (EC 4.1.1.15)	similar to glutamate decarboxylase	Glutamate decarboxylase (EC 4.1.1.15)	Amino acid transport and metabolism
lmo2364	-	NC_003210.1	2434627	2434866	240	79		GTG	Operon_423	hypothetical protein		Listeria RofA-like transcriptional regulator	Not in COGs
lmo2365	-	NC_003210.1	2435023	2436141	1119	372		ATG	Operon_423	hypothetical protein - RAST_Product: Listeria RofA-like transcriptional regulator	similar to S. pyogenes RofA regulatory protein	Listeria RofA-like transcriptional regulator	Transcription; Carbohydrate transport and metabolism;
lmo2366	-	NC_003210.1	2443368	2444126	759	252		GTG		hypothetical protein - RAST_Product: Transcriptional regulator of rhamnose utilization, DeoR family	similar to transcription regulator DeoR family	Transcriptional regulator of rhamnose utilization, DeoR family	Transcription; Carbohydrate transport and metabolism;
lmo2367	-	NC_003210.1	2444231	2445583	1353	450	pgi	ATG		glucose-6-phosphate isomerase	functions in sugar metabolism in glycolysis and the Embden-Meyerhof pathways (EMP) and in gluconeogenesis  catalyzes reversible isomerization of glucose-6-phosphate to fructose-6-phosphate  member of PGI family	Glucose-6-phosphate isomerase (EC 5.3.1.9)	Carbohydrate transport and metabolism
lmo2368	-	NC_003210.1	2445685	2446092	408	135		GTG		hypothetical protein	lmo2368	MutT/nudix family protein	Nucleotide transport and metabolism
lmo2369	-	NC_003210.1	2446240	2446593	354	117		ATG		general stress protein 13	similar to B. subtilis general stress protein 13 containing a ribosomal S1 protein domain  induced by heat shock, salt stress, oxidative stress, glucose limitation and oxygen limitation	SSU ribosomal protein S1p	Translation
lmo2370	+	NC_003210.1	2446747	2447913	1167	388		TTG		hypothetical protein - RAST_Product: Aspartate aminotransferase (EC 2.6.1.1) @ Biosynthetic Aromatic amino acid aminotransferase beta (EC 2.6.1.57)	similar to aminotransferase	Aspartate aminotransferase (EC 2.6.1.1) @ Biosynthetic Aromatic amino acid aminotransferase beta (EC 2.6.1.57)	Amino acid transport and metabolism
lmo2371	+	NC_003210.1	2448052	2449155	1104	367		ATG	Operon_424	hypothetical protein - RAST_Product: ABC transporter, permease protein	similar to putative ABC-transporter transmembrane subunit	ABC transporter, permease protein	Defense/virulence mechanisms
lmo2372	+	NC_003210.1	2449155	2449835	681	226		ATG	Operon_424	hypothetical protein - RAST_Product: ABC transporter ATP-binding protein YvcR	similar to ABC-transporter ATP binding proteins	ABC transporter ATP-binding protein YvcR	Defense/virulence mechanisms
lmo2373	-	NC_003210.1	2449878	2450192	315	104		ATG		hypothetical protein - RAST_Product: PTS system, cellobiose-specific IIB component (EC 2.7.1.69)	similar to phosphotransferase system (PTS) beta-glucoside-specific enzyme IIB component	PTS system, cellobiose-specific IIB component (EC 2.7.1.69)	Carbohydrate transport and metabolism
lmo2374	+	NC_003210.1	2450437	2451798	1362	453		ATG		aspartate kinase	similar to aspartate kinase  catalyzes the formation of 4-phospho-L-aspartate from L-aspartate and ATP  lysine and threonine sensitive	Aspartokinase (EC 2.7.2.4)	Amino acid transport and metabolism
lmo2375	-	NC_003210.1	2451840	2452235	396	131		GTG		hypothetical protein - RAST_Product: FIG00774641: hypothetical protein	lmo2375	FIG00774641: hypothetical protein	Not in COGs
lmo2376	-	NC_003210.1	2452322	2452906	585	194		ATG		hypothetical protein - RAST_Product: Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	similar to peptidyl-prolyl cis-trans isomerase	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	Posttranslational modification, protein turnover, chaperones
lmo2377	+	NC_003210.1	2453138	2454349	1212	403		ATG		hypothetical protein	similar to multi-drug resistance efflux pump	transporter	Carbohydrate transport and metabolism; Amino acid transport and metabolism; Inorganic ion transport and metabolism; General function prediction only;
lmo2378	+	NC_003210.1	2454695	2457103	2409	802		TTG	Operon_425	monovalent cation/H+ antiporter subunit A	similar to proteins involved in resistance to cholate and to NA(+) and in pH homeostasis  subunit A of antiporter complex involved in resistance to high concentrations of Na+, K+, Li+ and/or alkali	Na(+) H(+) antiporter subunit A	Energy production and conversion; Inorganic ion transport and metabolism;
lmo2379	+	NC_003210.1	2457087	2457512	426	141		ATG	Operon_425	putative monovalent cation/H+ antiporter subunit B	similar to proteins involved in resistance to cholate and to NA(+) and in pH homeostasis  subunit B of antiporter complex involved in resistance to high concentrations of Na+, K+, Li+ and/or alkali  in the case of S. meliloti it was proved to be involved specifically with K+ transport	Na(+) H(+) antiporter subunit B	Inorganic ion transport and metabolism
lmo2380	+	NC_003210.1	2457512	2457859	348	115		ATG	Operon_425	putative monovalent cation/H+ antiporter subunit C	similar to proteins involved in resistance to cholate and to NA(+) and in pH homeostasis  subunit C of antiporter complex involved in resistance to high concentrations of Na+, K+, Li+ and/or alkali	Na(+) H(+) antiporter subunit C	Inorganic ion transport and metabolism
lmo2381	+	NC_003210.1	2457852	2459336	1485	494		ATG	Operon_425	putative monovalent cation/H+ antiporter subunit D	similar to proteins involved in resistance to cholate and to NA(+) and in pH homeostasis  subunit D of antiporter complex involved in resistance to high concentrations of Na+, K+, Li+ and/or alkali  contains an oxidoreductase domain  catalyzes the transfer of electrons from NADH to ubiquinone	Na(+) H(+) antiporter subunit D	Energy production and conversion; Inorganic ion transport and metabolism;
lmo2382	+	NC_003210.1	2459343	2459822	480	159		ATG	Operon_425	putative monovalent cation/H+ antiporter subunit E	similar to proteins involved in resistance to cholate and to NA(+) and in pH homeostasis  subunit E of antiporter complex involved in resistance to high concentrations of Na+, K+, Li+ and/or alkali	Na(+) H(+) antiporter subunit E	Inorganic ion transport and metabolism
lmo2383	+	NC_003210.1	2459819	2460106	288	95		ATG	Operon_425	putative monovalent cation/H+ antiporter subunit F	similar to proteins involved in resistance to cholate and to NA(+) and in pH homeostasis  subunit F of antiporter complex involved in resistance to high concentrations of Na+, K+, Li+ and/or alkali	Na(+) H(+) antiporter subunit F	Inorganic ion transport and metabolism
lmo2384	+	NC_003210.1	2460090	2460683	594	197		GTG	Operon_425	putative monovalent cation/H+ antiporter subunit G	similar to proteins involved in resistance to cholate and to NA(+) and in pH homeostasis  subunit G of antiporter complex involved in resistance to high concentrations of Na+, K+, Li+ and/or alkali	Na(+) H(+) antiporter subunit G	Inorganic ion transport and metabolism
lmo2385	-	NC_003210.1	2460720	2461091	372	123		ATG		hypothetical protein - RAST_Product: thioesterase family protein	similar to B. subtilis YuxO protein	thioesterase family protein	Secondary metabolites biosynthesis, transport and catabolism
lmo2386	+	NC_003210.1	2461219	2461692	474	157		ATG		hypothetical protein - RAST_Product: membrane protein	similar to B. subtilis YuiD protein	membrane protein	Function unknown
lmo2387	+	NC_003210.1	2461803	2463029	1227	408		GTG		hypothetical protein		FIG00774264: hypothetical protein	Inorganic ion transport and metabolism
lmo2388	-	NC_003210.1	2463066	2463884	819	272		ATG		hypothetical protein - RAST_Product: FIG00774533: hypothetical protein	similar to B. subtilis YwqG protein	FIG00774533: hypothetical protein	Function unknown
lmo2389	-	NC_003210.1	2463969	2465180	1212	403		ATG		hypothetical protein - RAST_Product: NADH dehydrogenase (EC 1.6.99.3)	similar to NADH dehydrogenase	NADH dehydrogenase (EC 1.6.99.3)	Energy production and conversion
lmo2390	+	NC_003210.1	2465630	2466625	996	331		TTG		hypothetical protein - RAST_Product: Thioredoxin reductase (EC 1.8.1.9)	similar to hypothetical thioredoxine reductase	Thioredoxin reductase (EC 1.8.1.9)	Posttranslational modification, protein turnover, chaperones
lmo2391	+	NC_003210.1	2466713	2467342	630	209		ATG		hypothetical protein - RAST_Product: oxidoreductase ylbE	conserved hypothetical protein similar to B. subtilis YhfK protein	oxidoreductase ylbE	Cell wall/membrane biogenesis; Carbohydrate transport and metabolism;
lmo2392	-	NC_003210.1	2467388	2467621	234	77		ATG	Operon_426	hypothetical protein - RAST_Product: FIG00774402: hypothetical protein	similar to B. subtilis YuzB protein	FIG00774402: hypothetical protein	Function unknown
lmo2393	-	NC_003210.1	2467643	2467969	327	108		ATG	Operon_426	hypothetical protein - RAST_Product: YuzD-like protein	similar to B. subtilis YuzD protein	YuzD-like protein	Function unknown
lmo2394	-	NC_003210.1	2468210	2468392	183	60		TTG		hypothetical protein			Not in COGs
lmo2395	-	NC_003210.1	2468545	2468703	159	52		ATG		hypothetical protein - RAST_Product: FIG00775207: hypothetical protein	lmo2395	FIG00775207: hypothetical protein	Not in COGs
lmo2396	+	NC_003210.1	2469093	2471915	2823	940		ATG		hypothetical protein - RAST_Product: Internalin-like protein (LPXTG motif) Lmo2396 homolog	similar to internalin proteins, putative peptidoglycan bound protein (LPXTG motif)	Internalin-like protein (LPXTG motif) Lmo2396 homolog	Function unknown
lmo2397	+	NC_003210.1	2472089	2472325	237	78		ATG	Operon_427	hypothetical protein - RAST_Product: Nitrogen-fixing NifU domain protein	similar to NifU protein	Nitrogen-fixing NifU domain protein	Posttranslational modification, protein turnover, chaperones
lmo2398	+	NC_003210.1	2472438	2472938	501	166	ltrC	ATG	Operon_427	hypothetical protein - RAST_Product: Low temperature requirement C protein		Low temperature requirement C protein	Lipid transport and metabolism
lmo2399	-	NC_003210.1	2472963	2474273	1311	436		ATG	Operon_428	hypothetical protein - RAST_Product: CBS-domain containing protein		CBS-domain containing protein	General function prediction only
lmo2400	-	NC_003210.1	2474309	2474752	444	147		ATG	Operon_428	hypothetical protein - RAST_Product: acetyltransferase, GNAT family	similar to acetyltransferase	acetyltransferase, GNAT family	Transcription; General function prediction only;
lmo2401	-	NC_003210.1	2474801	2475568	768	255		TTG	Operon_428	hypothetical protein	similar to conserved hypothetical protein and to B. subtilis YutF protein	Hypothetical NagD-like phosphatase	Carbohydrate transport and metabolism
lmo2402	-	NC_003210.1	2475588	2475863	276	91		GTG	Operon_428	hypothetical protein - RAST_Product: Hypothetical DUF1027 domain protein	similar to B. subtilis YutD protein	Hypothetical DUF1027 domain protein	Function unknown
lmo2403	-	NC_003210.1	2475860	2477251	1392	463		TTG	Operon_428	hypothetical protein	similar to B. subtilis YunD protein	'5''-nucleotidase family protein in cluster with NagD-like phosphatase'	Nucleotide transport and metabolism
lmo2404	+	NC_003210.1	2477385	2478224	840	279		TTG	Operon_429	hypothetical protein - RAST_Product: FIG00774214: hypothetical protein		FIG00774214: hypothetical protein	General function prediction only
lmo2405	+	NC_003210.1	2478225	2478590	366	121		ATG	Operon_429	hypothetical protein - RAST_Product: FIG00774730: hypothetical protein	lmo2405	FIG00774730: hypothetical protein	Function unknown
lmo2406	-	NC_003210.1	2478623	2479465	843	280		ATG		hypothetical protein - RAST_Product: COG1801: Uncharacterized conserved protein	similar to B. subtilis YunF protein	COG1801: Uncharacterized conserved protein	Function unknown
lmo2407	-	NC_003210.1	2479607	2479921	315	104		ATG		hypothetical protein - RAST_Product: FIG00774515: hypothetical protein	lmo2407	FIG00774515: hypothetical protein	Not in COGs
lmo2408	+	NC_003210.1	2480325	2480528	204	67		GTG		hypothetical protein - RAST_Product: DNA-binding protein	similar to repressor protein	DNA-binding protein	Transcription
lmo2409	+	NC_003210.1	2480531	2480944	414	137		ATG		hypothetical protein - RAST_Product: FIG00775866: hypothetical protein	lmo2409	FIG00775866: hypothetical protein	Not in COGs
lmo2410	-	NC_003210.1	2481023	2481574	552	183		ATG		hypothetical protein - RAST_Product: hypothetical protein	lmo2410	hypothetical protein	Not in COGs
lmo2411	-	NC_003210.1	2481732	2483126	1395	464		ATG	Operon_430	hypothetical protein - RAST_Product: Iron-sulfur cluster assembly protein SufB		Iron-sulfur cluster assembly protein SufB	Posttranslational modification, protein turnover, chaperones
lmo2412	-	NC_003210.1	2483149	2483592	444	147		ATG	Operon_430	hypothetical protein - RAST_Product: Putative iron-sulfur cluster assembly scaffold protein for SUF system, SufE2		Putative iron-sulfur cluster assembly scaffold protein for SUF system, SufE2	Energy production and conversion
lmo2413	-	NC_003210.1	2483589	2484815	1227	408		ATG	Operon_430	hypothetical protein - RAST_Product: Cysteine desulfurase (EC 2.8.1.7), SufS subfamily	similar to aminotransferase	Cysteine desulfurase (EC 2.8.1.7), SufS subfamily	Amino acid transport and metabolism
lmo2414	-	NC_003210.1	2484816	2486117	1302	433		ATG	Operon_430	hypothetical protein - RAST_Product: Iron-sulfur cluster assembly protein SufD	similar to aminotransferase	Iron-sulfur cluster assembly protein SufD	Posttranslational modification, protein turnover, chaperones
lmo2415	-	NC_003210.1	2486136	2486921	786	261		ATG	Operon_430	hypothetical protein - RAST_Product: Iron-sulfur cluster assembly ATPase protein SufC	similar to ABC transporter, ATP-binding protein	Iron-sulfur cluster assembly ATPase protein SufC	Posttranslational modification, protein turnover, chaperones
lmo2416	+	NC_003210.1	2487261	2488337	1077	358		ATG		hypothetical protein - RAST_Product: FIG00774895: hypothetical protein	lmo2416	FIG00774895: hypothetical protein	Not in COGs
lmo2417	-	NC_003210.1	2488379	2489209	831	276		ATG	Operon_431	hypothetical protein - RAST_Product: Methionine ABC transporter substrate-binding protein	conserved lipoprotein (putative ABC transporter binding protein)	Methionine ABC transporter substrate-binding protein	Inorganic ion transport and metabolism
lmo2418	-	NC_003210.1	2489274	2489948	675	224		ATG	Operon_431	hypothetical protein - RAST_Product: Methionine ABC transporter permease protein	similar to ABC transporter, permease protein	Methionine ABC transporter permease protein	Inorganic ion transport and metabolism
lmo2419	-	NC_003210.1	2489945	2490967	1023	340		ATG	Operon_431	hypothetical protein - RAST_Product: Methionine ABC transporter ATP-binding protein	similar to ABC transporter (ATP-binding protein)	Methionine ABC transporter ATP-binding protein	Inorganic ion transport and metabolism
lmo2420	-	NC_003210.1	2491285	2491473	189	62		ATG	Operon_432	hypothetical protein - RAST_Product: FIG00774101: hypothetical protein	lmo2420	FIG00774101: hypothetical protein	Not in COGs
lmo2421	-	NC_003210.1	2491552	2492694	1143	380		TTG	Operon_432	hypothetical protein	similar to two-component sensor histidine kinase	sensor histidine kinase	Signal transduction mechanisms
lmo2422	-	NC_003210.1	2492684	2493379	696	231		ATG	Operon_432	hypothetical protein	similar to two-component response regulator	Phosphate regulon transcriptional regulatory protein PhoB (SphR)	Transcription; Signal transduction mechanisms;
lmo2423	-	NC_003210.1	2493454	2494329	876	291		ATG		hypothetical protein - RAST_Product: Cobalt-zinc-cadmium resistance protein		Cobalt-zinc-cadmium resistance protein	Inorganic ion transport and metabolism
lmo2424	-	NC_003210.1	2494522	2494806	285	94		TTG		hypothetical protein - RAST_Product: FIG00774099: hypothetical protein	similar to thioredoxin	FIG00774099: hypothetical protein	Posttranslational modification, protein turnover, chaperones; Energy production and conversion;
lmo2425	-	NC_003210.1	2494891	2495268	378	125		ATG		glycine cleavage system protein H	similar to glycine cleavage system protein H  part of multienzyme complex composed of H, L, P, and T proteins which catalyzes oxidation of glycine to yield carbon dioxide, ammonia, 5,10-CH2-H4folate and a reduced pyridine nucleotide  protein H is involved in transfer of methylamine group from the P to T protein  covalently bound to a lipoyl cofactor	Glycine cleavage system H protein	Amino acid transport and metabolism
lmo2426	-	NC_003210.1	2495309	2495662	354	117		ATG		hypothetical protein - RAST_Product: Arsenate reductase (EC 1.20.4.1)		Arsenate reductase (EC 1.20.4.1)	Inorganic ion transport and metabolism
lmo2427	-	NC_003210.1	2495818	2496993	1176	391		ATG		hypothetical protein - RAST_Product: Cell division protein FtsW	similar to cell division proteins RodA, FtsW	Cell division protein FtsW	Cell cycle control, mitosis and meiosis
lmo2428	-	NC_003210.1	2497069	2498238	1170	389		ATG		hypothetical protein - RAST_Product: Cell division protein FtsW	similar to cell division proteins RodA, FtsW	Cell division protein FtsW	Cell cycle control, mitosis and meiosis
lmo2429	-	NC_003210.1	2498381	2499172	792	263		ATG		hypothetical protein - RAST_Product: Ferrichrome transport ATP-binding protein FhuC (TC 3.A.1.14.3)	similar to B. subtilis ferrichrome ABC transporter (ATP-binding protein) FhuC	Ferrichrome transport ATP-binding protein FhuC (TC 3.A.1.14.3)	Inorganic ion transport and metabolism; Coenzyme transport and metabolism;
